Date,Close,High,Low,Open,Volume
5/13/21,388.7532349,390.7146321,385.6642728,385.7116667,106394000
5/14/21,394.7227478,395.5850051,391.5011458,391.5295706,82201600
5/17/21,393.7182922,394.542669,391.6716207,393.5951374,65129200
5/18/21,390.3261719,394.2299975,390.1650788,393.98363,59810200
5/19/21,389.3027954,389.4828287,384.0629471,385.5695477,106467100
5/20/21,393.4908752,394.7700485,390.0703005,390.1934553,78022200
5/21/21,393.1687317,396.2576937,392.7044505,394.9974606,76578700
5/24/21,397.1767883,398.2664438,395.1964221,395.4427895,51376700
5/25/21,396.2955933,398.6359974,395.7081283,398.2759308,57451400
5/26/21,397.0820618,397.593708,395.8407977,396.8925439,43088600
5/27/21,397.2904968,398.64546,397.00622,398.1243292,56707700
5/28/21,398.0011902,399.1476954,397.7643073,398.8823877,58520200
6/1/21,397.6505432,400.5405026,397.2052023,400.3983787,54216600
6/2/21,398.2759705,399.1287721,397.2905584,398.3138798,49097100
6/3/21,396.797821,397.9538108,394.4384765,395.9261081,58138800
6/4/21,400.4268494,400.7300664,396.8641214,398.6739102,55938800
6/7/21,400.0383301,400.5973702,399.0907986,400.4173369,51555000
6/8/21,400.1236572,401.0048547,398.2665033,400.9100958,47134300
6/9/21,399.5266724,401.0522132,399.299274,400.9763945,48436300
6/10/21,401.3837891,402.3502897,399.4318766,400.7678994,51020100
6/11/21,402.0471191,402.1608183,400.6353064,401.9429045,45570800
6/14/21,402.9473267,403.0515413,400.9006548,402.1608592,42358500
6/15/21,402.2081909,403.1367533,401.317509,403.0988729,51508500
6/16/21,399.9625854,402.5777822,397.8875177,402.3503838,80386100
6/17/21,399.8299255,400.8248222,397.3189725,399.5456776,90949700
6/18/21,394.4360657,397.202378,394.2269256,396.4989199,118676300
6/21/21,400.0827637,400.2729016,395.3961573,396.2232021,72822000
6/22/21,402.2216797,403.0677556,399.3412674,400.0732722,57700300
6/23/21,401.7368774,403.1152757,401.6513241,402.2977465,49445400
6/24/21,404.1134033,404.54117,403.6570898,403.9137789,45110300
6/25/21,405.5487976,406.0051111,404.5411308,404.8738575,58129500
6/28/21,406.3664551,406.5375618,404.86447,406.0812772,53159600
6/29/21,406.5850525,407.4025816,406.0431856,406.7561592,35970500
6/30/21,406.9273071,407.611763,406.0907468,406.1192646,64827900
7/1/21,409.1803284,409.3419485,407.6307943,407.6973455,53441000
7/2/21,412.3078613,412.6691059,409.2658292,410.3590785,57697700
7/6/21,411.5568848,412.583583,408.7810571,412.3649273,68710400
7/7/21,413.0112915,413.2964983,410.2069464,412.250798,63549500
7/8/21,409.6461487,410.4161579,406.4139783,407.6117833,97595200
7/9/21,414.0189514,414.3231604,409.446417,411.176573,76238600
7/12/21,415.5019836,415.7586727,413.4961652,413.9334475,52889600
7/13/21,414.0855408,416.2244615,413.8193651,414.7034454,52911300
7/14/21,414.7034912,416.3005742,413.439164,415.8062273,64130400
7/15/21,413.2870789,414.0285703,411.3572979,413.3441144,55126400
7/16/21,410.0453491,414.5323305,409.6461002,414.4848106,75874700
7/19/21,403.9898987,410.1119683,401.138004,405.1496704,147987000
7/20/21,409.7792053,411.0720792,403.8567607,404.6648033,99608200
7/21/21,413.0969543,413.2395723,409.7317393,410.9960666,64724400
7/22/21,413.9619751,414.2091486,412.2793678,413.2775193,47878500
7/23/21,418.2208557,418.5630692,415.2263721,415.9203145,63766600
7/26/21,419.2474976,419.2570132,417.5744058,417.6219258,43719200
7/27/21,417.3367004,418.2207807,414.465775,418.1922629,67397100
7/28/21,417.1655884,418.5630178,415.720639,417.9736309,52472400
7/29/21,418.8957825,419.9890029,418.0972555,418.1067711,47435300
7/30/21,416.8614197,418.3348869,416.1579327,416.291035,68951200
8/2/21,415.9868469,419.1619527,415.6256023,418.6010836,58783300
8/3/21,419.3710327,419.4946194,414.5703558,416.7948298,58053900
8/4/21,417.3082581,419.3425945,417.0706002,418.0687517,46732200
8/5/21,419.9509583,420.0365116,418.1637665,418.4869777,38969700
8/6/21,420.644928,421.0727238,419.9889899,420.2741968,46930000
8/9/21,420.3026733,420.9395801,419.5231486,420.6163689,41222600
8/10/21,420.825531,421.5480202,420.0650374,420.7589798,43339300
8/11/21,421.8712769,421.9663458,420.7685408,421.9093102,44034300
8/12/21,423.1355896,423.2782075,420.8065597,421.7191579,38909400
